id,car_name,brand,model,kilometers_driven,transmision,fuel,color,engine_capacity,price
1,Used Hyundai Verna 1.6 GL M/T (Tinted Glass) 2014,hyundai,2014,"165,000 KM",Automatic,Petrol,Silver,1599,"300,000"
2,Used Hyundai Verna Automatic 2004,hyundai,2004,"250,000 KM",Automatic,Petrol,Silver,1600,"230,000"
3,Used Hyundai Elantra HD 1.6 GL A/T DAB ABS 2021,hyundai,2021,"82,000 KM",Automatic,Petrol,Gray,1591,"650,000"
4,New Toyota Hilux 2023,hyundai,2023,0 KM,Manual,Diesel,White,2400,"99,500"
5,Used Hyundai Accent 1999,hyundai,1999,"315,000 KM",Manual,Petrol,Silver,1500,"138,000"
6,Used Hyundai Tucson Turbo 1.6T GDI Midline 2019,hyundai,2019,"72,250 KM",Automatic,Petrol,Gray,1600,"1,200,000"
7,Used Hyundai Tucson 1.6L GLS TLe SR Full Option 2017,hyundai,2017,"108,000 KM",Automatic,Petrol,Gray,1600,"1,000,000"
8,Used Hyundai Matrix 1.6L 2009,hyundai,2009,"260,000 KM",Automatic,Petrol,Other,N/A,"375,000"
9,Used Hyundai Matrix 1.6L 2009,hyundai,2009,"260,000 KM",Automatic,Petrol,Other,N/A,"375,000"
10,Used Hyundai Elantra HD 1.6L Standard 2020,hyundai,2020,"57,000 KM",Automatic,Petrol,Gray,1600,"635,000"
11,Used Hyundai Tucson 1.6T GDI (Topline) 2021,hyundai,2021,"41,000 KM",Automatic,Petrol,Silver,1600,"1,295,000"
12,Used Hyundai Elantra 1.6L 2005,hyundai,2005,"265,000 KM",Manual,Petrol,Black,1600,"310,000"
13,Used Hyundai Accent 2010,hyundai,2010,"120,000 KM",Manual,Petrol,Gold,1600,"310,000"
14,Used Hyundai Elantra 2011,hyundai,2011,"174,000 KM",Automatic,Petrol,Black,1600,"480,000"
15,Used Hyundai i10 2010,hyundai,2010,"61,000 KM",Manual,Petrol,Gray,1100,"310,000"
16,Used Hyundai Tucson 1.6L GL 2021,hyundai,2021,"95,000 KM",Automatic,Petrol,Gray,1600,"1,300,000"
17,New Toyota Hilux 2023,hyundai,2023,0 KM,Manual,Diesel,White,2400,"99,500"
18,Used Hyundai Verna Manual 2014,hyundai,2014,"200,000 KM",Manual,Petrol,White,1600,"280,000"
19,Used Hyundai Elantra HD 1.6 GL A/T (Tinted Glass) 2019,hyundai,2019,"160,000 KM",Automatic,Petrol,Silver,1591,"570,000"
20,Used Hyundai Elantra 1.6L 2011,hyundai,2011,"58,000 KM",Manual,Petrol,Silver,1600,"530,000"
21,Used Hyundai Elantra 1.6L GLS A/T (Full Option) 2012,hyundai,2012,"247,000 KM",Automatic,Petrol,Gray,1600,"395,000"
22,Used Hyundai Verna 1.6 GLS M/T Tinted Glass 2017,hyundai,2017,"5,000 KM",Manual,Petrol,Other,1599,"420,000"
23,Used Hyundai Grand i10 1.2 GL Sedan 2017,hyundai,2017,"133,000 KM",Automatic,Petrol,Silver,1197,"475,000"
24,Used Hyundai Elantra HD 1.6L Standard 2023,hyundai,2023,"14,000 KM",Automatic,Petrol,Burgundy,1600,"785,000"
25,Used Hyundai Tucson 1.6L T-GDI Smart (FWD) 2019,hyundai,2019,"98,000 KM",Automatic,Petrol,White,1600,"1,380,000"
26,Used Hyundai Tucson 1.6L GL 2019,hyundai,2019,"105,000 KM",Automatic,Petrol,White,1600,"1,050,000"
27,Used Hyundai Accent 1.4L 2020,hyundai,2020,"69,000 KM",Automatic,Petrol,Red,1400,"640,000"
28,Used Hyundai Tucson 1.6 T-GDI TLe Topline FWD 2019,hyundai,2019,"120,000 KM",Automatic,Petrol,Blue,1600,"1,350,000"
29,Used Hyundai Tucson 1.6L GDI Basic (FWD) 2017,hyundai,2017,"120,000 KM",Automatic,Petrol,Gray,1591,"1,000,000"
30,New Toyota Hilux 2023,hyundai,2023,0 KM,Manual,Diesel,White,2400,"99,500"
31,Used Hyundai Accent (RB) 1.6L GL DAB (ABS) 2021,hyundai,2021,"50,000 KM",Automatic,Petrol,Maroon,1597,"699,997"
32,Used Hyundai Elantra 1.6L Comfort 2018,hyundai,2018,"110,000 KM",Automatic,Petrol,Gray,1591,"490,000"
33,Used Hyundai Verna 1.6 GL M/T (Base) 2009,hyundai,2009,"153,000 KM",Manual,Petrol,Silver,1599,"180,000"
34,Used Hyundai Verna Manual 2009,hyundai,2009,"156,000 KM",Manual,Petrol,Gray,1600,"185,000"
35,Used Hyundai Grand i10 1.2 GL Hatchback (Full Option) 2016,hyundai,2016,"69,000 KM",Automatic,Petrol,Burgundy,1250,"450,000"
36,Used Hyundai Grand i10 1.2 GL Sedan M/T 2015,hyundai,2015,"59,000 KM",Automatic,Petrol,Black,1197,"425,000"
37,Used Hyundai Elantra 2012,hyundai,2012,"140,000 KM",Automatic,Petrol,Black,1600,"468,000"
